,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
79,0,1572179,24684458,169159384,659931459,1640219108,2778637977,3356570827,2986368236,2004518502,1033580726,415071001,131037890,32699416,6460946,1005753,122819,11482,804,36,1,0,0
80,0,1415477,22329602,153568745,599876007,1491513144,2524144459,3043328788,2699538176,1804174582,925078369,368860889,115417831,28482346,5546558,848230,101055,9105,601,22,1,0,0
81,0,1270163,20131037,138778515,542999274,1349932992,2282030479,2745211955,2426766152,1614662393,823054209,325728479,100970996,24626843,4723680,710422,82833,7167,475,25,0,0,0
82,0,1136525,18065109,124897283,489242171,1216202937,2053229623,2463898212,2170140354,1436928057,727949716,285830509,87738962,21139254,3992096,588543,66744,5847,354,21,0,0,0
83,0,1012459,16146477,111955680,438983908,1090886694,1838727469,2200231737,1930527832,1271647450,640009008,249201390,75703311,18008854,3351527,483713,53920,4326,258,9,0,0,0
84,0,897775,14388498,99944643,392240216,974087758,1638831779,1955326298,1708544043,1119276261,559431852,215979771,64907273,15233513,2785098,393985,42698,3353,183,6,0,0,0
85,0,793364,12756261,88860860,348992753,866034962,1454113465,1729264736,1504266118,979829764,486222165,186030949,55286584,12799848,2299241,318761,33792,2621,148,3,2,0,0
86,0,698151,11281888,78704310,309263278,766688383,1284247385,1522073619,1317822073,853170253,420175925,159242074,46767858,10668780,1886276,255349,25687,1933,110,2,0,0,0
87,0,611154,9928196,69459508,272949502,675842395,1129356039,1333398413,1148744368,739041899,361051823,135517772,39321351,8841753,1531344,202393,20126,1397,73,2,0,0,0
88,0,535049,8711258,61045849,239958136,593289001,988663253,1162743695,996460768,636860218,308559071,114643249,32850501,7269089,1235392,158581,15285,1019,42,3,0,0,0
89,0,465001,7617874,53466043,210143657,518689936,861824430,1009275873,860187588,545943522,262266015,96399233,27275179,5936025,987379,124277,11658,764,27,0,0,0,0
90,0,405193,6643586,46651031,183303209,451639955,748039294,872146414,739021151,465627814,221697661,80592103,22489337,4811781,785568,96149,8535,538,18,0,0,0,0
91,0,349580,5763473,40554829,159260330,391635572,646547452,750256409,631908458,395156182,186379188,66979746,18426019,3875534,617842,73716,6406,372,12,0,0,0,0
92,0,301378,4988400,35133275,137921535,338373631,556487380,642626295,537833657,333678142,155873603,55353649,15001750,3100955,484350,56424,4628,307,9,0,0,0,0
93,0,258655,4300647,30332390,118919176,291140283,476976409,547946096,455623334,280392808,129660473,45478991,12142414,2463030,374544,41565,3404,176,6,0,0,0,0
94,0,221851,3693554,26084227,102221105,249537510,407213495,465290739,384196792,234421405,107271028,37162602,9766619,1941471,288276,31626,2450,124,4,0,0,0,0
95,0,189913,3165111,22366486,87535939,213098166,346250487,393348645,322498782,195073071,88311658,30182312,7805231,1519090,219426,23226,1700,76,2,0,0,0,0
96,0,162364,2703349,19104593,74703839,181307931,293212459,331125727,269516270,161519913,72309242,24378376,6195883,1181486,167041,16938,1189,37,1,0,0,0,0
97,0,136414,2305682,16281423,63510420,153634774,247367616,277643626,224199813,133119321,58903955,19572203,4890529,912857,124507,12421,853,27,0,0,0,0,0
98,0,115751,1952310,13816005,53829010,129749259,207807279,231821286,185720195,109190144,47742531,15642915,3835004,700395,92914,8954,520,24,1,0,0,0,0
99,0,97812,1652631,11691150,45451156,109156031,173981381,192729416,153137464,89120684,38491435,12415939,2990104,530866,68713,6346,391,9,0,0,0,0,0
100,0,82509,1393736,9863629,38240770,91515751,145067825,159604979,125724577,72411653,30880322,9800536,2317231,402489,50227,4390,287,11,0,0,0,0,0
101,0,69403,1172996,8288397,32073934,76443103,120497423,131617247,102756147,58554237,24636572,7693976,1781282,301471,36558,3085,165,3,0,0,0,0,0
102,0,57563,983269,6946561,26815137,63617498,99714959,108102807,83657085,47124181,19563215,6007954,1360034,223769,26170,2141,117,3,2,0,0,0,0
103,0,48105,822067,5803822,22339965,52780970,82207768,88440784,67801096,37747405,15456833,4664185,1034867,165713,18621,1374,81,2,0,0,0,0,0
104,0,40068,684753,4834336,18556802,43629294,67514398,72073227,54713358,30099471,12136022,3601787,779451,121175,13263,946,50,0,0,0,0,0,0
105,0,33060,569556,4015362,15365129,35930579,55265069,58506797,43959105,23904052,9493886,2764977,585767,88505,9167,599,35,1,0,0,0,0,0
106,0,27586,471850,3320998,12670080,29497647,45052438,47294103,35172836,18881243,7386942,2107848,435856,63848,6354,406,19,0,0,0,0,0,0
107,0,22969,390269,2744236,10418760,24135922,36602834,38105684,28026764,14847884,5715120,1598283,321514,46229,4457,250,16,0,0,0,0,0,0
